SPONSORED,,,,,
,,,,,
,,,,,
DomesticInternationalWorldwideCalendarAll TimeShowdownsIndices,,,,,
Latest International Weekends,,,,,
International,,,,,
"Data as of Apr 12, 1:34 PDT",,,,,
Area,Weekend,Releases,#1 Release,Distributor,Weekend Gross
Poland,Apr 7-9,10,Puss in Boots: The Last Wish,Universal Pictures International (UPI),"$24,451 "
Albania,Apr 8-9,2,The Super Mario Bros. Movie,Universal Pictures International (UPI),"$18,684 "
Türkiye,Apr 7-9,3,Puss in Boots: The Last Wish,Universal Pictures International (UPI),"$16,844 "
North Macedonia,Apr 7-9,2,The Super Mario Bros. Movie,Universal Pictures International (UPI),"$11,015 "
Kenya,Apr 5-9,1,The Super Mario Bros. Movie,Universal Pictures International (UPI),"$10,203 "
Sri Lanka,Apr 7-9,2,The Super Mario Bros. Movie,Universal Pictures International (UPI),"$9,221 "
Lebanon,Apr 6-9,3,Puss in Boots: The Last Wish,Universal Pictures,"$5,035 "
Philippines,Apr 5-9,7,Ant-Man and the Wasp: Quantumania,Walt Disney Studios Motion Pictures,"$2,674 "
Malaysia,Apr 6-9,6,Ant-Man and the Wasp: Quantumania,Walt Disney Studios Motion Pictures,"$2,155 "
Bangladesh,Apr 7-9,2,The Super Mario Bros. Movie,Universal Pictures International (UPI),$416 
Middle East Other,Apr 6-9,1,Cocaine Bear,Universal Pictures,$106 
Bosnia and Herzegovina,Apr 6-9,2,-,-,-
"Weekend Ending April 2, 2023",,,,,
Dominican Republic,Mar 30-Apr 2,2,Lifemark,CanZion Films,"$1,621 "
"Weekend Ending March 26, 2023",,,,,
Costa Rica,Mar 23-26,2,John Wick: Chapter 4,-,"$380,157 "
Panama,Mar 23-26,4,John Wick: Chapter 4,-,"$359,433 "
Guatemala,Mar 23-26,2,John Wick: Chapter 4,-,"$255,419 "
West Indies,Mar 23-26,2,John Wick: Chapter 4,-,"$250,843 "
Honduras,Mar 23-26,1,John Wick: Chapter 4,-,"$189,572 "
El Salvador,Mar 23-26,2,John Wick: Chapter 4,-,"$188,687 "
Cambodia,Mar 24-26,1,John Wick: Chapter 4,Mongkol Film Company,"$150,768 "
Nicaragua,Mar 23-26,1,John Wick: Chapter 4,-,"$78,126 "
Switzerland (Italian),Mar 23-26,1,John Wick: Chapter 4,Ascot Elite Entertainment Group,"$11,286 "
Aruba,Mar 24-26,2,John Wick: Chapter 4,-,"$8,800 "
Latest Updates: News | Daily | Weekend | All Time | International | Showdowns,,,,,
Glossary | User Guide | Help,,,,,
BoxOfficeMojo.com by IMDbPro - an IMDb company.,,,,,
"© IMDb.com, Inc. or its affiliates. All rights reserved. Box Office Mojo and IMDb are trademarks or registered trademarks of IMDb.com, Inc. or its affiliates. Conditions of Use and Privacy Policy under which this service is provided to you.",,,,,
