Sponsored ,,,,,
,,,,,
,,,,,
DomesticInternationalWorldwideCalendarAll TimeShowdownsIndices,,,,,
Latest International Weekends,,,,,
International,,,,,
"Data as of Nov 14, 1:34 PST",,,,,
Area,Weekend,Releases,#1 Release,Distributor,Weekend Gross
Pakistan,Nov 1-5,3,Five Nights at Freddy's,Universal Pictures International (UPI),"$9,082 "
Kenya,Nov 1-5,3,Trolls Band Together,Universal Pictures International (UPI),"$5,060 "
Nigeria,Nov 1-5,4,Trolls Band Together,Universal Pictures International (UPI),"$3,803 "
Bangladesh,Nov 3-5,1,The Exorcist: Believer,Universal Pictures International (UPI),"$1,530 "
Bosnia and Herzegovina,Nov 2-5,3,-,-,-
"Weekend Ending October 29, 2023",,,,,
Switzerland (German),Oct 26-29,1,Five Nights at Freddy's,Universal Pictures International (UPI),"$353,000 "
Switzerland (French),Oct 25-29,1,Saw X,-,"$71,674 "
Israel,Oct 26-29,1,Saw X,Forum Film,"$17,599 "
Albania,Oct 28-29,3,Five Nights at Freddy's,Universal Pictures International (UPI),"$11,818 "
Switzerland (Italian),Oct 26-29,1,Saw X,-,"$5,177 "
Dominican Republic,Oct 26-29,1,Saw X,-,"$4,042 "
Kuwait,Oct 26-29,2,Saw X,Eagle Films,"$3,794 "
Iraq,Oct 27-29,1,Saw X,Eagle Films,"$3,527 "
Qatar,Oct 26-29,1,Saw X,Eagle Films,"$2,743 "
Oman,Oct 26-29,2,Saw X,Eagle Films,"$2,104 "
Jordan,Oct 26-29,1,Saw X,Eagle Films,"$1,506 "
Costa Rica,Oct 26-29,2,Saw X,-,"$1,276 "
Bahrain,Oct 26-29,1,Saw X,Eagle Films,"$1,147 "
Panama,Oct 26-29,2,Saw X,-,"$1,033 "
Nicaragua,Oct 26-29,2,Saw X,-,$711 
North Macedonia,Oct 27-29,2,The Exorcist: Believer,Universal Pictures International (UPI),$682 
Guatemala,Oct 26-29,2,Saw X,-,$669 
El Salvador,Oct 26-29,2,Saw X,-,$664 
Honduras,Oct 26-29,2,Saw X,-,$62 
Latest Updates: News | Daily | Weekend | All Time | International | Showdowns,,,,,
Glossary | User Guide | Help,,,,,
BoxOfficeMojo.com by IMDbPro - an IMDb company.,,,,,
"© IMDb.com, Inc. or its affiliates. All rights reserved. Box Office Mojo and IMDb are trademarks or registered trademarks of IMDb.com, Inc. or its affiliates. Conditions of Use and Privacy Policy under which this service is provided to you.",,,,,
